"PC1","PC2","PC3","cluster"
-0.412776332766446,0.904401590735889,-0.108043795667674,"Day0"
0.993373584994802,-0.0571138518861263,0.099734289776908,"Day4"
-0.856172596053423,-0.516599357084579,-0.00967419386519566,"Day7"
0.925878001971349,0.231523333853735,0.298574733269235,"Day2"
-0.482140954301641,0.828756935816594,-0.284081047451238,"Day0"
0.833012781051361,-0.511972597514414,-0.209699227465008,"Day4"
0.932392592400653,0.298175676162884,0.204292241118446,"Day2"
0.400806963142547,-0.630255596976072,-0.664929816429361,"Day7"
0.946638851038801,0.1787382022777,0.268193103472991,"Day2"
0.717657367215841,-0.637098833560136,-0.28119918128818,"Day4"
-0.802233381645752,0.540909271216017,0.252663336647364,"Day0"
-0.601866575955451,-0.774213273645906,0.195832662388455,"Day7"
0.936719902124837,0.229775657912616,0.264119238212705,"Day2"
0.617451648652571,-0.710502387918435,-0.337549727208339,"Day4"
-0.915341027849979,-0.395433995652777,-0.0760444463233393,"Day7"
-0.384213722889904,0.798932618654969,-0.462694808693802,"Day0"
-0.408125528614371,0.853110674468179,-0.32501650727569,"Day0"
0.864230222514298,0.327192607248095,0.382166351547438,"Day2"
-0.891744469579421,-0.44108953303051,0.101152483041418,"Day7"
0.807815349020431,-0.536480668010148,-0.244177916156199,"Day4"
0.966097861276472,0.0490290536074276,0.253477956318468,"Day2"
-0.583653038342664,0.720460354623163,-0.374547738278639,"Day0"
-0.820720012994014,-0.569498515224966,-0.0457176271001146,"Day7"
0.924293482149398,-0.376570043455769,-0.0622620368110534,"Day4"
0.983006690811401,-0.161946845346095,0.0864353232334242,"Day4"
-0.636674277924931,0.763879602492643,-0.105516902553338,"Day0"
0.965727162669509,0.131491585173083,0.223787868998679,"Day2"
-0.64930082110523,-0.642417636001631,0.407072505416603,"Day7"
0.678812638555209,-0.656743731889519,-0.32848298641108,"Day4"
-0.885229488620369,0.301120896401637,0.35453484769088,"Day0"
0.936005875859734,0.241720619537589,0.25585961472342,"Day2"
